id,title,description,category,subcategory,priority,status,location,latitude,longitude,people_affected,likes_count,comments_count,created_at,updated_at
0f0970c9-0f67-4956-8423-cd0818b12788,Ongoing community issue in Bamenda City Center,Ongoing community issue in Bamenda City Center. It has gotten worse over the past few weeks.,Other,Community complaint,low,reported,Bamenda City Center,5.96749,10.15228,95,7,1,2026-08-01 13:00:00,2026-08-04 13:00:00
0075519a-24c8-4be3-bf00-259758482a70,No water supply for over a week in Ntarikon,No water supply for over a week in Ntarikon. This has been affecting daily life for residents nearby.,Water,No water supply,high,reported,Ntarikon,5.97199,10.16281,324,10,2,2026-07-04 19:00:00,2026-07-06 19:00:00
8791bf03-e7e4-4c64-8e21-541df7624fd7,Ambulance can't reach Bafut due to road state,Ambulance can't reach Bafut due to road state. Several neighbors have raised the same concern.,Healthcare,Ambulance access blocked,low,solved,Bafut,6.10617,10.10211,86,3,0,2026-07-14 08:00:00,2026-08-07 08:00:00
e3403246-696e-4df2-ae95-b7c69d0ffee7,Waste piling up in Bafut market,Waste piling up in Bafut market. It has gotten worse over the past few weeks.,Waste,Market waste pile-up,medium,solved,Bafut,6.10262,10.11479,159,6,1,2026-07-18 16:00:00,2026-07-30 16:00:00
c926a92d-a0b7-48cd-bb8c-14980fc65639,No water supply for over a week in Ntarikon,No water supply for over a week in Ntarikon. Several neighbors have raised the same concern.,Water,No water supply,low,solved,Ntarikon,5.96154,10.15193,2,0,0,2026-07-09 05:00:00,2026-07-22 05:00:00
9eeaa242-907a-440d-b6ae-deb43004b137,Footbridge collapsed near Molyko,Footbridge collapsed near Molyko. This poses a risk to children and elderly people in the area.,Infrastructure,Collapsed footbridge,high,solved,Molyko,4.15478,9.27965,654,14,5,2026-07-02 12:00:00,2026-07-07 12:00:00
fe85446b-0812-4155-a181-0035fee54642,Public toilet out of service in Bamenda Main Market,Public toilet out of service in Bamenda Main Market. Several neighbors have raised the same concern.,Infrastructure,Broken public toilet,medium,reported,Bamenda Main Market,5.96523,10.15392,340,16,4,2026-07-26 20:00:00,2026-07-29 20:00:00
c8348bf0-b669-44c0-b288-be2efccf9670,Illegal waste dumping site near Ndop,Illegal waste dumping site near Ndop. This poses a risk to children and elderly people in the area.,Waste,Illegal dumping,medium,reported,Ndop,5.74426,10.45002,338,16,3,2026-07-28 16:00:00,2026-07-31 16:00:00
ad0c73a6-a138-450c-a19e-f0fad203e6ac,"Fallen power line near Small Soppo, dangerous","Fallen power line near Small Soppo, dangerous. This poses a risk to children and elderly people in the area.",Electricity,Fallen power line,medium,solved,Small Soppo,4.13021,9.28746,136,3,0,2026-07-11 00:00:00,2026-07-28 00:00:00
0cc0950a-1602-483e-aaf5-502aa553c957,River near Ntarikon polluted by waste,River near Ntarikon polluted by waste. It has gotten worse over the past few weeks.,Environment,River pollution,low,reported,Ntarikon,5.97466,10.14914,131,6,1,2026-08-15 21:00:00,2026-08-16 21:00:00
1d8fe29f-eb3e-4a25-9142-72ab9d781890,Public toilet out of service in Muea,Public toilet out of service in Muea. It has gotten worse over the past few weeks.,Infrastructure,Broken public toilet,low,solved,Muea,4.12615,9.24016,145,8,3,2026-07-15 16:00:00,2026-07-30 16:00:00
db12c300-4446-4578-9f0a-1e73516d95da,No water supply for over a week in Molyko,No water supply for over a week in Molyko. We would appreciate this being looked into soon.,Water,No water supply,medium,solved,Molyko,4.14046,9.28639,389,17,3,2026-06-29 20:00:00,2026-07-03 20:00:00
ba7c1dcd-c0fe-47ce-9c8b-64f5b53b40df,Footbridge collapsed near Down Beach Limbe,Footbridge collapsed near Down Beach Limbe. We would appreciate this being looked into soon.,Infrastructure,Collapsed footbridge,medium,solved,Down Beach Limbe,4.02865,9.20423,233,7,1,2026-07-16 12:00:00,2026-08-03 12:00:00
7846438c-c947-4762-9b97-a8b4c3d18e02,Public toilet out of service in Mankon,Public toilet out of service in Mankon. It has gotten worse over the past few weeks.,Infrastructure,Broken public toilet,low,reported,Mankon,5.96369,10.14535,60,4,1,2026-08-13 21:00:00,2026-08-14 21:00:00
8e3aa6b7-7e83-4979-8ca8-2afbf1a7858d,Streetlights not working in Down Beach Limbe,Streetlights not working in Down Beach Limbe. It has gotten worse over the past few weeks.,Electricity,Streetlight out,low,solved,Down Beach Limbe,4.02838,9.20617,128,5,1,2026-07-16 06:00:00,2026-07-19 06:00:00
5b5b33d1-f3c9-488b-8361-317cd6444f53,Large pothole on Ndop road,Large pothole on Ndop road. This has been affecting daily life for residents nearby.,Roads,Pothole,low,solved,Ndop,5.74167,10.45712,4,2,0,2026-08-10 10:00:00,2026-08-14 10:00:00
9e866e15-1af4-4f58-9ec4-5249c1d0ba62,Transformer sparking near Nkwen,Transformer sparking near Nkwen. This has been affecting daily life for residents nearby.,Electricity,Transformer fault,medium,solved,Nkwen,5.96662,10.17464,208,7,2,2026-07-15 18:00:00,2026-07-24 18:00:00
0f50709c-b668-4db7-80f8-26e473298181,Large pothole on Mbatu road,Large pothole on Mbatu road. Several neighbors have raised the same concern.,Roads,Pothole,medium,reported,Mbatu,4.13511,9.27456,114,5,1,2026-08-02 10:00:00,2026-08-04 10:00:00
eff3129c-7cc0-42ba-ad5b-a536d95383ce,Waste burning causing smoke in Mendankwe,Waste burning causing smoke in Mendankwe. We would appreciate this being looked into soon.,Waste,Burning waste smoke,medium,solved,Mendankwe,5.95665,10.13413,87,6,1,2026-07-23 13:00:00,2026-08-14 13:00:00
8d391f89-3459-42eb-9e39-c90eea01de59,Heavy smoke affecting Wum residents,Heavy smoke affecting Wum residents. This has been affecting daily life for residents nearby.,Environment,Air pollution from burning,low,reported,Wum,6.38498,10.07085,70,4,0,2026-08-06 19:00:00,2026-08-07 19:00:00
aef5e8fd-3de2-4c1b-9feb-0c871030609d,Bafut clinic short on nursing staff,Bafut clinic short on nursing staff. This poses a risk to children and elderly people in the area.,Healthcare,Clinic understaffed,low,solved,Bafut,6.09166,10.10171,53,1,0,2026-07-31 08:00:00,2026-08-13 08:00:00
ced1e3b4-cf0f-44c8-88ee-b444652bc3e5,Road flooding every rainy season in Mankon,Road flooding every rainy season in Mankon. Several neighbors have raised the same concern.,Roads,Flooded road,low,solved,Mankon,5.96199,10.14759,101,5,2,2026-07-15 20:00:00,2026-08-05 20:00:00
110a44d5-42cc-48dd-858a-31837b670bdf,Road flooding every rainy season in Mbatu,Road flooding every rainy season in Mbatu. Several neighbors have raised the same concern.,Roads,Flooded road,high,solved,Mbatu,4.13902,9.26511,762,21,4,2026-06-30 08:00:00,2026-07-23 08:00:00
3d140bb1-72b8-4dc1-86a5-2c3e416fcef1,Broken water pipe flooding the street in Nkwen,Broken water pipe flooding the street in Nkwen. This poses a risk to children and elderly people in the area.,Water,Broken pipe,low,solved,Nkwen,5.96566,10.16321,14,1,0,2026-07-20 07:00:00,2026-07-23 07:00:00
0691c908-d02e-43df-a0d0-88f92ef0f2d5,Illegal tree felling near Down Beach Limbe,Illegal tree felling near Down Beach Limbe. It has gotten worse over the past few weeks.,Environment,Deforestation,medium,reported,Down Beach Limbe,4.02252,9.21591,180,9,2,2026-08-13 16:00:00,2026-08-16 16:00:00
e542d6b3-35e7-4db6-b8d7-5ff87991c218,Road erosion getting worse near Bamenda City Center,Road erosion getting worse near Bamenda City Center. Several neighbors have raised the same concern.,Roads,Erosion damage,medium,reported,Bamenda City Center,5.96199,10.14664,378,18,5,2026-07-04 15:00:00,2026-07-04 15:00:00
04885faa-d6ec-477a-bcee-7009aa7cba99,Public building in disrepair in Mile 16,Public building in disrepair in Mile 16. It has gotten worse over the past few weeks.,Infrastructure,Damaged public building,medium,reported,Mile 16,4.14533,9.21929,162,10,4,2026-08-10 07:00:00,2026-08-13 07:00:00
e07148b5-af45-4451-8165-a3479a856247,No night patrol in Mendankwe lately,No night patrol in Mendankwe lately. We would appreciate this being looked into soon.,Security,No security patrol,medium,reported,Mendankwe,5.94149,10.12181,127,5,1,2026-08-01 13:00:00,2026-08-02 13:00:00
065d3364-1455-4206-9ed1-a245dfc6d5bd,Public building in disrepair in Mankon,Public building in disrepair in Mankon. It has gotten worse over the past few weeks.,Infrastructure,Damaged public building,medium,solved,Mankon,5.95918,10.154,132,4,0,2026-07-23 15:00:00,2026-08-17 15:00:00
877868f2-455f-4124-ba5b-0c2cd66f79ca,No night patrol in Mendankwe lately,No night patrol in Mendankwe lately. This has been affecting daily life for residents nearby.,Security,No security patrol,low,solved,Mendankwe,5.95426,10.13803,102,2,0,2026-07-25 22:00:00,2026-08-03 22:00:00
fbedd827-c964-4180-88db-48a637cb135b,Nkwen clinic short on nursing staff,Nkwen clinic short on nursing staff. We would appreciate this being looked into soon.,Healthcare,Clinic understaffed,high,reported,Nkwen,5.97969,10.16171,626,26,5,2026-08-02 16:00:00,2026-08-02 16:00:00
fac5a2c5-9c54-48a8-93a0-d864913efe0a,Heavy smoke affecting Mendankwe residents,Heavy smoke affecting Mendankwe residents. We would appreciate this being looked into soon.,Environment,Air pollution from burning,medium,solved,Mendankwe,5.95439,10.12099,130,4,0,2026-07-20 05:00:00,2026-07-26 05:00:00
f5e7bc14-6582-454e-ae28-8c173d04f908,Missing street signage near Wum,Missing street signage near Wum. Several neighbors have raised the same concern.,Security,Broken street signage,high,reported,Wum,6.37896,10.07178,851,27,11,2026-08-01 12:00:00,2026-08-01 12:00:00
3342b05e-1349-4437-a80d-ba1ccbc8f34d,River near Muea polluted by waste,River near Muea polluted by waste. It has gotten worse over the past few weeks.,Environment,River pollution,high,solved,Muea,4.1144,9.24813,322,12,3,2026-07-20 11:00:00,2026-07-28 11:00:00
16d672d3-f137-42a7-8826-f1c54d5c2627,Ambulance can't reach Mendankwe due to road state,Ambulance can't reach Mendankwe due to road state. Several neighbors have raised the same concern.,Healthcare,Ambulance access blocked,medium,solved,Mendankwe,5.95775,10.13499,328,11,3,2026-07-22 01:00:00,2026-08-03 01:00:00
73fab65d-5641-4ee0-b9df-de1a56ed5886,Heavy smoke affecting Mutengene residents,Heavy smoke affecting Mutengene residents. Several neighbors have raised the same concern.,Environment,Air pollution from burning,low,reported,Mutengene,4.09581,9.32397,104,5,1,2026-08-02 12:00:00,2026-08-02 12:00:00
c14b2dc7-2727-4635-b07f-8d2f300d1d05,Road flooding every rainy season in Mile 16,Road flooding every rainy season in Mile 16. This has been affecting daily life for residents nearby.,Roads,Flooded road,high,reported,Mile 16,4.15027,9.22608,254,9,1,2026-07-18 00:00:00,2026-07-19 00:00:00
f5965e33-757f-47e9-ab6e-3185e47760ce,Overflowing bin behind the market in Bamenda Main Market,Overflowing bin behind the market in Bamenda Main Market. Several neighbors have raised the same concern.,Waste,Overflowing bin,high,solved,Bamenda Main Market,5.96345,10.15564,842,17,4,2026-07-02 02:00:00,2026-07-07 02:00:00
8c3c387c-8d93-40ca-9194-5c6c19bade78,Ongoing community issue in Mutengene,Ongoing community issue in Mutengene. We would appreciate this being looked into soon.,Other,Community complaint,medium,reported,Mutengene,4.0943,9.32625,283,12,4,2026-07-15 04:00:00,2026-07-16 04:00:00
b2b14e01-7e94-4bb9-b02f-a4505197eb95,Mile 4 clinic short on nursing staff,Mile 4 clinic short on nursing staff. It has gotten worse over the past few weeks.,Healthcare,Clinic understaffed,high,solved,Mile 4,4.13202,9.25075,840,34,12,2026-07-31 14:00:00,2026-08-14 14:00:00
6f39a35b-fe17-47b4-8dcb-76e8aafb728f,Large pothole on Mendankwe road,Large pothole on Mendankwe road. We would appreciate this being looked into soon.,Roads,Pothole,medium,reported,Mendankwe,5.94997,10.13349,277,10,2,2026-08-01 17:00:00,2026-08-03 17:00:00
080b63f7-1029-4fa9-ab5f-6cfef5dd86cd,Illegal waste dumping site near Wum,Illegal waste dumping site near Wum. Several neighbors have raised the same concern.,Waste,Illegal dumping,low,reported,Wum,6.38778,10.0671,51,3,1,2026-08-05 15:00:00,2026-08-06 15:00:00
cc01b98b-053c-40c6-ad9c-4d5bf769d27f,Public building in disrepair in Down Beach Limbe,Public building in disrepair in Down Beach Limbe. It has gotten worse over the past few weeks.,Infrastructure,Damaged public building,high,reported,Down Beach Limbe,4.01313,9.2129,204,8,1,2026-08-14 18:00:00,2026-08-17 18:00:00
3bf269f0-3a86-4f9b-aa0c-3e90115d73cf,Broken water pipe flooding the street in Bali,Broken water pipe flooding the street in Bali. This has been affecting daily life for residents nearby.,Water,Broken pipe,high,solved,Bali,5.89058,10.00271,212,7,1,2026-07-01 10:00:00,2026-07-05 10:00:00
3725a475-e1ec-4ffc-8dc0-48afe32c9698,Well water looks contaminated in Bamenda City Center,Well water looks contaminated in Bamenda City Center. It has gotten worse over the past few weeks.,Water,Contaminated well,low,solved,Bamenda City Center,5.95703,10.15911,99,5,2,2026-06-30 18:00:00,2026-07-07 18:00:00
c1d2576d-47be-4563-b2ed-835794eaa41a,River near Mendankwe polluted by waste,River near Mendankwe polluted by waste. It has gotten worse over the past few weeks.,Environment,River pollution,medium,solved,Mendankwe,5.94647,10.13475,186,4,1,2026-07-08 11:00:00,2026-07-10 11:00:00
f987d30f-0c50-4498-bf32-0ec1830b68a4,Illegal waste dumping site near Mile 4,Illegal waste dumping site near Mile 4. This has been affecting daily life for residents nearby.,Waste,Illegal dumping,high,solved,Mile 4,4.13878,9.24545,448,13,4,2026-07-09 23:00:00,2026-07-29 23:00:00
654bc824-a8f5-4a31-8440-3b234846bb32,Road erosion getting worse near Ntarikon,Road erosion getting worse near Ntarikon. Several neighbors have raised the same concern.,Roads,Erosion damage,high,reported,Ntarikon,5.9665,10.16714,620,28,10,2026-07-24 16:00:00,2026-07-26 16:00:00
dff7cd0b-c20f-4726-b12c-dcda5946c19e,Ongoing community issue in Mbengwi,Ongoing community issue in Mbengwi. This poses a risk to children and elderly people in the area.,Other,Community complaint,medium,solved,Mbengwi,6.00722,9.94922,322,8,2,2026-07-10 22:00:00,2026-07-26 22:00:00
7d70cd74-da17-4316-9b79-2b6e1cc1f12a,River near Bali polluted by waste,River near Bali polluted by waste. This poses a risk to children and elderly people in the area.,Environment,River pollution,high,solved,Bali,5.90361,10.01667,266,11,4,2026-08-01 05:00:00,2026-08-16 05:00:00
0e568070-75c1-48f1-99f6-e4c345643e6b,Illegal waste dumping site near Wum,Illegal waste dumping site near Wum. It has gotten worse over the past few weeks.,Waste,Illegal dumping,low,reported,Wum,6.37888,10.06834,52,3,1,2026-07-01 16:00:00,2026-07-02 16:00:00
015301c3-9488-4d64-b64c-998fb0167480,Pipeline leak wasting water near Ndop,Pipeline leak wasting water near Ndop. It has gotten worse over the past few weeks.,Water,Leaking pipeline,low,reported,Ndop,5.75985,10.45015,120,8,1,2026-08-11 04:00:00,2026-08-14 04:00:00
a39e64bb-d7e0-413d-8e49-4d16f64bc6a8,Damaged bridge near Nkambe,Damaged bridge near Nkambe. This has been affecting daily life for residents nearby.,Roads,Bridge damage,high,solved,Nkambe,6.57538,10.66079,256,8,2,2026-07-11 18:00:00,2026-08-02 18:00:00
cb685e30-fe63-4512-9331-57c4e8c0dfab,Well water looks contaminated in Mendankwe,Well water looks contaminated in Mendankwe. This has been affecting daily life for residents nearby.,Water,Contaminated well,low,solved,Mendankwe,5.94075,10.1268,54,4,0,2026-08-01 23:00:00,2026-08-11 23:00:00
b042eee4-32e8-48a0-8e53-3a87fbd3518e,Illegal waste dumping site near Mile 17,Illegal waste dumping site near Mile 17. It has gotten worse over the past few weeks.,Waste,Illegal dumping,low,solved,Mile 17,4.13396,9.23627,142,4,1,2026-07-23 03:00:00,2026-08-02 03:00:00
46ec3a19-41d0-40a8-829c-2968e17b7fb6,No night patrol in Wum lately,No night patrol in Wum lately. We would appreciate this being looked into soon.,Security,No security patrol,medium,reported,Wum,6.38791,10.07467,389,10,2,2026-08-16 13:00:00,2026-08-16 13:00:00
741705c6-73c6-4a96-9867-cb0ee351a98c,Broken water pipe flooding the street in Buea Town,Broken water pipe flooding the street in Buea Town. This poses a risk to children and elderly people in the area.,Water,Broken pipe,medium,reported,Buea Town,4.15756,9.25929,86,5,2,2026-08-10 00:00:00,2026-08-12 00:00:00
140e30e1-776e-4034-bd9c-6bc13e51ce1c,"Fallen power line near Bafut, dangerous","Fallen power line near Bafut, dangerous. We would appreciate this being looked into soon.",Electricity,Fallen power line,high,reported,Bafut,6.09367,10.10542,682,16,5,2026-08-11 12:00:00,2026-08-11 12:00:00
62c077ab-8793-41f8-83c4-731d6caf3879,Damaged classroom roof in Mile 4 school,Damaged classroom roof in Mile 4 school. Several neighbors have raised the same concern.,Education,Classroom damage,high,solved,Mile 4,4.15052,9.24776,344,11,3,2026-07-09 02:00:00,2026-07-25 02:00:00
61847de4-7154-4117-beee-a47e49841413,Ongoing community issue in Nkwen,Ongoing community issue in Nkwen. It has gotten worse over the past few weeks.,Other,Community complaint,low,reported,Nkwen,5.97099,10.16636,65,2,0,2026-08-10 20:00:00,2026-08-10 20:00:00
e0f29292-d92b-427a-88a5-8c65ddf491bd,Pipeline leak wasting water near Mile 4,Pipeline leak wasting water near Mile 4. This has been affecting daily life for residents nearby.,Water,Leaking pipeline,medium,solved,Mile 4,4.14111,9.25698,217,8,2,2026-07-07 11:00:00,2026-07-08 11:00:00
edd8bebe-d945-48dd-b3a6-a75a72fda39b,Public nuisance reported in Great Soppo,Public nuisance reported in Great Soppo. This poses a risk to children and elderly people in the area.,Other,Public nuisance,medium,solved,Great Soppo,4.16171,9.28027,302,15,4,2026-07-19 19:00:00,2026-08-03 19:00:00
0bb7363e-2afb-4036-9b34-b93522f8e6d0,Heavy smoke affecting Nkwen residents,Heavy smoke affecting Nkwen residents. This has been affecting daily life for residents nearby.,Environment,Air pollution from burning,medium,solved,Nkwen,5.96381,10.15861,703,16,7,2026-07-28 01:00:00,2026-08-17 01:00:00
279729c4-d20c-4e63-aba1-ad0a51400988,Overflowing bin behind the market in Mile 17,Overflowing bin behind the market in Mile 17. Several neighbors have raised the same concern.,Waste,Overflowing bin,low,solved,Mile 17,4.12876,9.25122,173,5,1,2026-07-05 01:00:00,2026-07-20 01:00:00
2f2a6b9f-ad33-49b0-83d5-b642814cc1b1,Ambulance can't reach Mile 17 due to road state,Ambulance can't reach Mile 17 due to road state. It has gotten worse over the past few weeks.,Healthcare,Ambulance access blocked,medium,reported,Mile 17,4.12717,9.24026,78,4,0,2026-07-28 13:00:00,2026-07-29 13:00:00
eccff00c-9d70-42f4-b14c-bd604aebda39,Broken water pipe flooding the street in Mutengene,Broken water pipe flooding the street in Mutengene. It has gotten worse over the past few weeks.,Water,Broken pipe,medium,solved,Mutengene,4.09717,9.32632,113,6,1,2026-07-15 06:00:00,2026-07-28 06:00:00
24cec156-0a8c-4303-b197-7d2f48827935,Ongoing community issue in Bafut,Ongoing community issue in Bafut. This has been affecting daily life for residents nearby.,Other,Community complaint,low,reported,Bafut,6.09462,10.09663,14,2,0,2026-07-09 01:00:00,2026-07-11 01:00:00
1e76942d-d5d7-4a23-8a70-e905134ab5b1,Road erosion getting worse near Bamenda Main Market,Road erosion getting worse near Bamenda Main Market. It has gotten worse over the past few weeks.,Roads,Erosion damage,medium,solved,Bamenda Main Market,5.95882,10.15451,127,3,1,2026-07-25 23:00:00,2026-08-06 23:00:00
4a728e6f-a5bd-4642-963f-d95e85650494,Well water looks contaminated in Muea,Well water looks contaminated in Muea. We would appreciate this being looked into soon.,Water,Contaminated well,medium,solved,Muea,4.11449,9.24167,379,15,3,2026-08-04 13:00:00,2026-08-07 13:00:00
b4c31f9b-1dc4-47e6-a0b8-152f2875ff42,Broken water pipe flooding the street in Mutengene,Broken water pipe flooding the street in Mutengene. Several neighbors have raised the same concern.,Water,Broken pipe,low,reported,Mutengene,4.08289,9.32031,16,2,0,2026-08-02 00:00:00,2026-08-05 00:00:00
de7405c7-c04a-4454-a725-cb0fecec1ce3,Frequent power outages in Nkwen,Frequent power outages in Nkwen. This poses a risk to children and elderly people in the area.,Electricity,Power outage,medium,reported,Nkwen,5.96423,10.1565,28,1,0,2026-08-07 23:00:00,2026-08-10 23:00:00
8147f45c-cc79-428f-99a6-5da03a0eb12a,Transformer sparking near Bamenda City Center,Transformer sparking near Bamenda City Center. Several neighbors have raised the same concern.,Electricity,Transformer fault,high,solved,Bamenda City Center,5.95601,10.14097,731,20,8,2026-07-18 02:00:00,2026-07-24 02:00:00
1e54e08f-a587-4a05-a1f0-826e341fe37a,Well water looks contaminated in Nkambe,Well water looks contaminated in Nkambe. It has gotten worse over the past few weeks.,Water,Contaminated well,high,reported,Nkambe,6.58588,10.65947,233,9,2,2026-07-04 16:00:00,2026-07-06 16:00:00
93f743ca-31f6-49f5-83da-54962c787045,Illegal waste dumping site near Small Soppo,Illegal waste dumping site near Small Soppo. This poses a risk to children and elderly people in the area.,Waste,Illegal dumping,low,solved,Small Soppo,4.1203,9.27521,42,4,1,2026-07-01 18:00:00,2026-07-22 18:00:00
19cff406-c38e-4aca-a2d7-3b9187c29df7,Public building in disrepair in Small Soppo,Public building in disrepair in Small Soppo. Several neighbors have raised the same concern.,Infrastructure,Damaged public building,medium,solved,Small Soppo,4.13395,9.28715,352,11,2,2026-07-02 17:00:00,2026-07-08 17:00:00
d3c4bd47-2e2c-4e1b-b260-626ac0494691,Large pothole on Ntarikon road,Large pothole on Ntarikon road. This poses a risk to children and elderly people in the area.,Roads,Pothole,low,reported,Ntarikon,5.95913,10.16658,9,0,0,2026-08-08 02:00:00,2026-08-08 02:00:00
59b5fe46-328d-4f33-9ffb-71f43e104dcf,Damaged classroom roof in Muea school,Damaged classroom roof in Muea school. This has been affecting daily life for residents nearby.,Education,Classroom damage,high,solved,Muea,4.12783,9.23132,289,11,5,2026-07-03 12:00:00,2026-07-28 12:00:00
fc19c067-8193-4672-ae28-ff3feda1f57c,Health center in Ntarikon out of basic medicine,Health center in Ntarikon out of basic medicine. It has gotten worse over the past few weeks.,Healthcare,No medicine supply,medium,solved,Ntarikon,5.95965,10.16384,232,13,2,2026-07-30 14:00:00,2026-08-11 14:00:00
c034a58b-b060-4beb-b4e7-dc7a036ab8d5,Public nuisance reported in Wum,Public nuisance reported in Wum. This poses a risk to children and elderly people in the area.,Other,Public nuisance,medium,reported,Wum,6.38537,10.05762,110,6,1,2026-07-21 08:00:00,2026-07-21 08:00:00
df471f31-dc57-4d70-9f2d-1f15c0ab2edc,Molyko clinic short on nursing staff,Molyko clinic short on nursing staff. This poses a risk to children and elderly people in the area.,Healthcare,Clinic understaffed,medium,reported,Molyko,4.13903,9.27704,238,7,1,2026-08-15 00:00:00,2026-08-17 00:00:00
8906c78b-ecca-4463-a392-01b35996e1e6,Transformer sparking near Mendankwe,Transformer sparking near Mendankwe. We would appreciate this being looked into soon.,Electricity,Transformer fault,low,solved,Mendankwe,5.95877,10.12463,127,3,0,2026-07-08 22:00:00,2026-07-21 22:00:00
3247ae95-7fa9-4200-8d97-a4ab33752c4c,Pipeline leak wasting water near Mutengene,Pipeline leak wasting water near Mutengene. This poses a risk to children and elderly people in the area.,Water,Leaking pipeline,low,solved,Mutengene,4.0805,9.31112,45,1,0,2026-07-14 08:00:00,2026-08-03 08:00:00
8d7f363f-f8f5-4b3d-8314-f0b60cde046c,Damaged bridge near Sandpit,Damaged bridge near Sandpit. Several neighbors have raised the same concern.,Roads,Bridge damage,high,solved,Sandpit,4.15453,9.26311,511,17,4,2026-07-06 07:00:00,2026-07-21 07:00:00
90df2091-c8d9-444b-97a4-26d339d7d60d,Illegal tree felling near Ndop,Illegal tree felling near Ndop. Several neighbors have raised the same concern.,Environment,Deforestation,high,solved,Ndop,5.74603,10.45406,339,12,3,2026-08-08 01:00:00,2026-08-14 01:00:00
d85993bf-202f-4a6f-b8fe-af2a2f44803a,Ambulance can't reach Ntarikon due to road state,Ambulance can't reach Ntarikon due to road state. Several neighbors have raised the same concern.,Healthcare,Ambulance access blocked,low,reported,Ntarikon,5.96029,10.16116,79,3,1,2026-08-08 20:00:00,2026-08-10 20:00:00
58b72230-8ded-458b-93ea-e8f746763909,Missing street signage near Nkwen,Missing street signage near Nkwen. We would appreciate this being looked into soon.,Security,Broken street signage,medium,reported,Nkwen,5.96325,10.17309,383,20,5,2026-08-03 08:00:00,2026-08-04 08:00:00
e0d4e5e3-b219-42c9-aeaa-b77477fa6b66,Public nuisance reported in Nkambe,Public nuisance reported in Nkambe. This has been affecting daily life for residents nearby.,Other,Public nuisance,high,solved,Nkambe,6.58636,10.67005,777,19,5,2026-07-07 02:00:00,2026-07-28 02:00:00
36942569-dc14-4dda-8e83-5ed13940ecd6,No night patrol in Buea Town lately,No night patrol in Buea Town lately. We would appreciate this being looked into soon.,Security,No security patrol,high,solved,Buea Town,4.16026,9.26459,118,4,0,2026-07-21 09:00:00,2026-07-22 09:00:00
027bc3a9-2a4a-4504-b24e-bc88ca6ab100,Footbridge collapsed near Nkwen,Footbridge collapsed near Nkwen. It has gotten worse over the past few weeks.,Infrastructure,Collapsed footbridge,medium,reported,Nkwen,5.96802,10.16036,238,10,3,2026-08-05 08:00:00,2026-08-05 08:00:00
